,debate_name,debate_num,n,s
1012, Faut-il accueillir davantage de migrants ?,3,338, On doit réparation aux populations des pays du Sud
1013, La liberté d'expression doit-elle être totale ?,25,1174, Il existe des violences symboliques
1014, Faut-il instaurer un revenu de base ?,9,105, Instaurer un revenu de base risque de provoquer une immigration massive
1015, Dieu existe-t-il ?,0,2010,
1016, La religion est-elle compatible avec le marxisme ?,27,2457,Les religions s'opposent à la contraception
1017, La liberté d'expression doit-elle être totale ?,25,1199, Il n'y a pas de raison de contester les démocraties libérales
1018, La liberté d'expression doit-elle être limitée ?,24,1260, L'interdiction du négationnisme crédibilise les négationnistes
1019, Faut-il instaurer un revenu de base ?,9,1716, Le modèle de financement du revenu de base proposé par Génération libre incite au travail non déclaré
1020, Les hommes doivent-ils rejoindre le combat féministe ?,37,262, Les hommes ont intérêt à en finir avec le sexisme
1021, Faut-il accueillir davantage de migrants ?,3,1541," Les migrants sont minoritaires, ils ne peuvent pas être intolérants"
1022, Faut-il arrêter de manger des animaux ?,4,1037, On ne peut pas caractériser la souffrance animale
1023, La liberté d'expression doit-elle être totale ?,25,2307,La violence de ces contenus est bien moindre que la violence de la réalité
1024, La liberté d'expression doit-elle être limitée ?,24,1489, Les capacités de jugement ne sont pas égales
1025, La liberté d'expression doit-elle être totale ?,25,1211, Il y a une gradation entre les discours et les actes
1026, Dieu existe-t-il ?,0,2071,
1027, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,2318,Les directions du mouvement ouvrier ont mené une politique contre-révolutionnaire
1028, Le nationalisme est-il dangeureux ?,31,1898,Le nationalisme est une source majeure de conflit
1029, L'Europe occidentale est-elle en déclin ?,19,19, L'Europe occidentale est-elle en déclin ?
1030, La liberté d'expression doit-elle être totale ?,25,510, Interdire certains discours empêche leur propagation
1031, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,171, La révolution peut et doit se faire sans la classe ouvrière
1032, Faut-il instaurer un revenu de base ?,9,791, Le revenu de base permet de supprimer les trappes à inactivité
1033, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1201, Il ne faut pas confondre classe ouvrière et mouvement ouvrier
1034, Le logiciel libre est-il en déclin ?,30,2251,Il existe d'autres modèles économiques que l'achat d'un logiciel
1035, La liberté d'expression doit-elle être limitée ?,24,1190, Il faut une pornographie différente
1036, Faut-il incinérer les déchets ménagers à La Réunion ?,8,2371,Des risques d'accidents
1037, Faut-il instaurer un revenu de base ?,9,1461, Le revenu de base risque d'aggraver le chômage
1038, Les footballeurs professionnels sont-ils trop payés ?,36,830, Les footballeurs professionnels sont trop payés par rapport aux autres sports
1039, La liberté d'expression doit-elle être totale ?,25,1661, Vouloir éradiquer la haine conduit à un régime de censure
1040, La liberté d'expression doit-elle être limitée ?,24,1264, L'opinion publique est conditionnée par l'État
1041, Faut-il privatiser ADP ?,14,1954,L’Etat pourrait céder des participations moins sensibles
1042, Faut-il généraliser le vote électronique ?,7,1653, Une carte d'identité électronique peut être mise en place pour voter par internet
1043, Dieu existe-t-il ?,0,2034,
1044, Lénine est-il le précurseur de Staline ?,28,707, Lénine a violemment réprimé les socialistes
1045, Faut-il accueillir davantage de migrants ?,3,540, L'immense majorité des réfugiés sont accueillis et restent dans les pays pauvres voisins
1046, La liberté d'expression doit-elle être limitée ?,24,1304, La haine est parfois nécessaire
1047, Lénine est-il le précurseur de Staline ?,28,1386, Lénine a violemment réprimé les socialistes en 1920
1048, La liberté d'expression doit-elle être totale ?,25,1325, La notion d'incitation est floue
1049, La liberté d'expression doit-elle être limitée ?,24,1548, Les oeuvres immorales abaissent la pensée
1050, Faut-il accueillir davantage de migrants ?,3,160, La migration est un problème pour les pays dont les migrants proviennent
1051, Faut-il instaurer un revenu de base ?,9,781," Le revenu de base favorise la solitude, l'ennui et la dépression"
1052, La liberté d'expression doit-elle être totale ?,25,549, L'opinion publique s'autorégule
1053, Les religions se rejoignent-elles ?,38,492, Il y a des expériences spirituelles incommensurables
1054, Faut-il arrêter de manger des animaux ?,4,330, Manger des animaux est utile en cas de mauvaises récoltes
1055, Faut-il incinérer les déchets ménagers à La Réunion ?,8,403, Des coûts d'entretien élevés
1056, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1294," La désindustrialisation ne touche pas les pays du tiers-monde, bien au contraire"
1057, Faut-il généraliser le vote électronique ?,7,1562, Les résultats d'un scrutin par vote papier sont déjà très rapides
1058, Les religions se rejoignent-elles ?,38,1500, Les différentes religions divergent de plus en plus
1059, Le Front national est-il un parti fasciste ?,29,214, Le Front national est un parti national-populiste
1060, Une spiritualité rationnelle est-elle possible ?,46,2407,La spiritualité utilise la raison et l'expérience
1061, La liberté d'expression doit-elle être totale ?,25,1304, La haine est parfois nécessaire
1062, Faut-il accueillir davantage de migrants ?,3,1349, La situation actuelle n'est pas celle des Trente Glorieuses
1063, Faut-il instaurer un revenu de base ?,9,1407, Le capitalisme cognitif est relativement marginal à l'échelle mondiale
1064, L'Europe occidentale est-elle en déclin ?,19,1970,La démocratie repose sur le tirage au sort
1065, Faut-il accueillir davantage de migrants ?,3,1431, Le nombre d'étrangers et de leurs descendants est en constante augmentation selon l'Insee
1066, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1278, La classe ouvrière a pendant longtemps été dispersée et atomisée
1067, Faut-il instaurer un revenu de base ?,9,1047, On peut éviter une immigration massive en limitant l'accès au revenu de base aux nationaux
1068, Faut-il instaurer un revenu de base ?,9,1759, Les expérimentations menées dans les années 1960 aux États-Unis et au Canada sont biaisées au niveau de la durée des expérimentations
1069, La liberté d'expression doit-elle être limitée ?,24,1258, L'interdiction des discours radicaux ne lutte pas contre les vraies causes du terrorisme
1070, Pour ou contre le capitalisme ?,40,1947,Le capitalisme fait un commerce de la pornographie
1071, Faut-il généraliser le vote électronique ?,7,1026, On a observé un surcoût dans les expériences de vote électronique menées
1072, L'Europe occidentale est-elle en déclin ?,19,2444,La durée des mandats des élus est limitée
1073, Faut-il arrêter de manger des animaux ?,4,869, Les mauvaises récoltes sont de plus en plus rares
1074, Le Front national est-il un parti fasciste ?,29,216, Le Front national n'a pas de milices armées
1075, Dieu existe-t-il ? (nouvelle version),1,2177,Rien ne montre l'existence d'un dieu
1076, L'Europe occidentale est-elle en déclin ?,19,2378,90 % des citoyens sont inscrits sur les listes électorales en France
1077, La religion est-elle compatible avec le marxisme ?,27,2469,Les religions s'opposent au divorce
1078, La liberté d'expression doit-elle être totale ?,25,1464, Les adultes consentants font ce qu'ils veulent
1079, Dieu existe-t-il ? (nouvelle version),1,78, Il existe des interventions divines
1080, Faut-il instaurer un revenu de base ?,9,775, Le revenu de base apporte une meilleure sécurisation des parcours professionnels
1081, Pour ou contre le capitalisme ?,40,40, Pour ou contre le capitalisme ?
1082, La liberté d'expression doit-elle être totale ?,25,1277, La censure stimule la pensée
1083, Faut-il incinérer les déchets ménagers à La Réunion ?,8,2500,Les résidus toxiques de l'incinération sont enfouis
1084, Faut-il accueillir davantage de migrants ?,3,1060," Quand un pays riche comme la France refuse d'accueillir les migrants, ils sont renvoyés vers des pays plus pauvres"
1085, Faut-il incinérer les déchets ménagers à La Réunion ?,8,1144, Des liens entre incinérateurs et cancers
1086, La religion est-elle compatible avec le marxisme ?,27,2355,Les religions oppriment les minorités sexuelles
1087, Lénine est-il le précurseur de Staline ?,28,1378, Lénine a violemment réprimé les ouvriers de Petrograd en 1921
1088, Faut-il accueillir davantage de migrants ?,3,2382,"Quand les Français connaissent personnellement des migrants, cela se passe bien"
1089, Faut-il instaurer un revenu de base ?,9,1452, Le revenu de base est une mesure favorable aux employeurs
1090, L'Europe occidentale est-elle en déclin ?,19,1862,Des candidats non représentatifs de la population
1091, Faut-il instaurer un revenu de base ?,9,1746, On pourrait redéployer des fonctionnaires pour accompagner les personnes en situation de pauvreté dans une société avec un revenu de base
1092, La liberté d'expression doit-elle être limitée ?,24,2126,Limiter la liberté d’expression est inefficace
1093, Lénine est-il le précurseur de Staline ?,28,716, Lénine reconnaissait et corrigeait ses erreurs
1094, La croyance en Dieu est-elle bénéfique ?,22,1835,La croyance en Dieu permet de grandes oeuvres
1095, Faut-il instaurer un salaire à vie ?,10,130, La hiérarchie des salaires à vie est source de grands conflits
1096, Les hommes doivent-ils rejoindre le combat féministe ?,37,1876,Les hommes bénéficient des discriminations envers les femmes
1097, Les hommes doivent-ils rejoindre le combat féministe ?,37,1516, Les femmes sont constamment dévalorisées par rapport aux hommes
1098, Faut-il généraliser le vote électronique ?,7,1591, Le vote électronique risque de faire augmenter le temps d'attente pour voter
1099, Pour ou contre le capitalisme ?,40,2310,Le capitalisme a permis un développement économique sans précédent
1100, Faut-il instaurer un revenu de base ?,9,1451, Le revenu de base doit être instauré à une échelle supra-nationale
1101, Faut-il généraliser le vote électronique ?,7,905, Les pays qui ont abandonné le vote électronique projettent de s'y réengager à moyen terme
1102, La croyance en Dieu est-elle bénéfique ?,22,1843,La religion encourage l'intolérance
1103, L'Europe occidentale est-elle en déclin ?,19,1851,Le pouvoir est entre les mains des partis politiques
1104, Faut-il préserver les Murs à pêches de Montreuil ?,13,94, Il faut préserver les Murs à pêches de Montreuil pour sauvegarder un patrimoine
1105, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,2337,Pour renverser le capitalisme
1106, Faut-il instaurer un revenu de base ?,9,1708, Le cas des gagnants du jeu « Win for Life » montre que le nombre d'heures travaillées baisserait peu dans une société avec un revenu de base
1107, Pour ou contre le communisme ?,41,1777,L'égalité absolue n'existe pas
